User,Rating,Date,Title,Comment
raudafitriani,10/10,24 April 2019," An experience you'll gonna remember forever.
","There is no way that I could describe my emotions for this movie. I'm totally speechless. I haven't laughed (even cried) this much in Marvel movie or even in any movie. I'm fully on my emotion, there are so many tears of joy and loss. Amazing story, the acting is outstanding, epic action, great CGI, the best storytelling ever told in a superhero movie, amazing performance. I love it more than 3000.Happiness, sadness, pure joy, excitement... I'm gonna miss this moment in my whole life because let's face it- it's been awhile movies can bring such a big enthusiasm like this.It is such an experience you'll gonna remember it forever. People are clapping, laughing, crying, full of a state emotion. It's 3 hours long but it went by like a finger snapping by Thanos, and now I'm thinking I'm actually in Quantum Realm because it felt like 5 seconds. Even though you know where the story is gonna bring you because it's still a 'superhero movie' but it left me speechless. It's not just a superhero movie, it's more than that.**SPOILER ALERT**Even some characters that you didn't like before, you will love them in this movie. Like Captain Marvel. I didn't like her before in her own movie but in Endgame they showed how powerful, how strong and how capable she really is. And now I kinda love her! But Marvel should really be careful of her line though, I didn't like some of her line like ""I'm the strongest"" and ""You didn't win because before you didn't have me"" duh. Also not gonna forget Hawkeye. To be honest, in Avengers I really didn't like Hawkeye because he's just a 'guy' with an arrow and just randomly showed up in any scene but actually he's character is so BADASS! Everything that we need, what we want is here.Also I don't get it why some people can not accept that Thor is fat or treat him like a joke. I mean, this movie might be trying to give us a message about no matter what 'shape' are you, you can be a hero and save the world. To be honest, I like what they did to Thor, that man is depressed and taking the most responsible after he missed the shot to kill Thanos in Infinity War. Even though he already did killed him but it's not gonna bring back his people of Asgard. Also he's God of Thunder for god sake, he could slap his stomach with thunder and got his abs back.I'm so happy too for Captain America. Finally he could do his dance with Peggy and I didn't expected that we could see the fight between Captain America with his own self. Also when Tony met his father really warm my heart, and we can see the 'real-life' Jarvis - I didn't expected that too.When the whole superhero arrived it is so EPIC! The whole person in theater are screaming and shocked. Gives me a goosebumps and still left me speechless!This movie is absolute perfection. The ending of this movie is we and the characters deserved. It gives a perfect balance for all these past 10 years. Epic and perfect ending, I was not disappointed at all. This movie was completely emotional and visually stunning. Now I get it why the Russo Brothers told us to do a Marvel Movie marathon before watching Endgame because this movie had everything to accomplish what left behind before all of this.Ready or not, whatever it takes.Go watch it for yourself."
theroo200182,6/10,26 April 2019," Amazing, but the more I dwell on it the worse it becomes
","I have to say, my first reaction walking out of the cinema was that it was great. Probably an 8/10. You know there's so much fan service in this movie and I particularly loved the ""I can do this all day"" CA line from one CA to another. It was almost Toy Story 2, enlightened Buzz to naive Buzz banter.I loved Clever Hulk, found Thor hilarious, though a bit annoying at times, and loved the references to past movies. Cap swinging Mjollnir around was beautiful.The deaths in this movie were also pretty surprising but I agree with some of the more balanced reviews in here that it was bizarre that so much time was spent on Hawkeye - does anyone really care about him? Not really.Killing off Black Widow was a surprising touch, but I, like many others, probably felt more of an emotional reaction to Banner's relationship with her and not Hawkeye (because no one actually cares about him). Renner, as an actor, just doesn't cut it much, unfortunately.The real problem with End Game, is the time travel. I don't know why any movie franchise would ever want to deal with time travel knowing how much grief it creates. Sure they try to explain everything with their hilarious conversation about movies, but in the end, there are just too many questions left at the end of the day, particularly when they already try to explain it through the Ancient One.The most glaring one of these is, if they change the past, they're changing another timeline, so how selfish is that? If Tony Stark snaps his fingers and kills Thanos, what happens to that original timeline? If he sent Thanos and everyone back, how does he magically know not to send Gamora back who is now stuck in 2023 - and so does that mean 2014 Quill never meets Gamora?!? What the hell? Essentially erasing the entire 2014 GOTG franchise in that universe. If Captain America goes back in time, he will inevitably change history in some way or another, so that is another timeline, right? So while everyone else's timeline is meant to stay the same in the present (as said by Stark) how does Cap end up sitting by the same lake as everyone else.There are also way too many questions about new timelines created - but perhaps that is intentional, such as the Loki TV show. But this is why I hate it when they bring time travel into any movie and just add stuff to it to make it wrap up nicely in their own universe.Also, don't get me started on how impossibly strong Thanos suddenly is without an infinity gauntlet? Even WITH the IG he couldn't stop Thor's Stormbringer, but now without the IG can easily defeat Thor with Stormbringer AND Mjollnir, Iron Man and Cap??? How convenient.I also think Marvel made a serious mistake creating Captain Marvel, how is she brought in as a convenient deus ex machina and yet doesn't really stick around to show off all her abilities, and she can't even defeat Thanos single handedly? Pfft. That was rich. She can barely prevent Thanos from snapping his fingers, yet in Infinity War, Cap was able to actually hold off his hand too? Bizarre parallels.So okay, sure, it was enjoyable to watch, but I just feel that there are too many plot inconsistencies creeping into End Game. There should have been better ways to get the infinity stones back, and I think someone stupid just thought time travel was the best way to do it,."
MR_Heraclius,8/10,15 February 2020," Endgame
","There isn't too much in the way of suspense or surprises when it comes to the story, but there are some shocking moments and funny lines in this epic finale. Again, like many of the best Marvel films, the holes and flaws are covered up with humor and fan service, making everything okay. That being said, I did prefer Infinity War to this film, which really misses the leads of the other Marvel franchises that were ""snapped"" out. Overall, however, there are only a few ways you can wrap up the main story of the MCU, and this was a solid direction."
ahmetkozan,10/10,25 April 2019," The End of an Era!
","After Avengers Infinity War, we waited for the Avengers Endgame. We wondered how the story would go on, how our heroes would turn back, what would be the end of Thanos. Many theories related to this have been put forward. Avengers Endgame was undoubtedly the most anticipated film of recent years. Normally, the higher the expectation, the higher the probability of disappointment. But this is not the case for Endgame. Whatever you're expecting, you find much more in the film. This means that the biggest concern about the film has disappeared.On the other hand, another comparison comes up. Is Endgame more successful than Infinity War? We can comfortably say it Avengers Infinity War is just the beginning of the story. Endgame was the finale of the story. So we shouldn't think of these two films as two separate stories. There is only one story divided into two parts.Avengers Endgame is, above all, a great homage to the ten-year history of the Marvel Cinematic Universe. The story highlights the original Avengers team. Iron Man, Captain America, Thor, Hulk, Black Widow and Hawkeye are at the center of events. No character comes in front of them. Of course there are many characters that play an important role in the story outside the original Avengers team. Everyone's concern was that Captain Marvel, who was included in the Marvel world, overshadowed other heroes. We can say that this certainly did not happen. What is important in this struggle is not how strong you are, but how good you are. This comes to the fore in all areas. It gives good message about being a hero and a family.Of course, Avengers Endgame has some critical aspects. For example, is the three-hour period necessary in terms of the story? It can be discussed. The head of the story moves much slower than the rest. It also drags the heroes into an emotional predicament. Then the tempo is rising and the heavy scenes we are watching are getting more meaningful. The last 45 minutes of the movie is fully action packed. But the last 45 minutes goes so fast that you don't even realize it. Action and battle scenes are really successful. There is not even a slight distress about visual effects. There are also slight logic errors in the film, but in general the story is so successful that these details become meaningless and insignificant after a certain point.Lastly, Avengers Endgame doesn't have a movie end scene. Because after the film's final, there is no need for another scene. The Marvel legend Stan Lee appears with a small stage. But this is the last surprise scene in the Marvel Cinematic Universe. Moreover, there is no clue about Marvel's future. This makes us wonder more about Spider-Man: Far from Home. 10/10"
Essa82,10/10,14 August 2019," Less than 8? You're miserable and bitter!
","I appreciate many desperate people want to seem ""edgy"" or ""alternative"" by defining themselves as ""different"" but really, you come off as nothing more than the representation of inadequacy. I'm not suggesting you need to love this movie or that you can't find fault, but what this and it's predecessor, Infinity War, achieved; not only in cinema, but storytelling as a whole, is laudable. This is not a stand-alone movie and requires some foreknowledge, but it's an accomplished endgame of a movie arc of over 10 years unlike any other in movie history"
larshoeijmans,10/10,24 April 2019," The ending made all 22 movies worth it
","If you're going to watch this movie, avoid any spoilers, even spoiler free reviews.
Which is why I'm not going to say anything about the movie. Not even my opinion. All I'm going to say is:The crowd applauded 3 times during the movie, and stood up to clap their hands after. This I have never witnessed in a Dutch cinema. Dutch crowds aren't usually passionate about this. I checked the row where I was sitting, and people were crying. After the movie, I was seeing people with smudged mascara. That's all I have to say about the movie."
JMichaletos,6/10,25 April 2019," Overhyped. Infinity War was WAY Better
","Unpopular opinion.
Let me start by saying that Endgame is not a bad film. In fact it was a decent film. But nothing more. Maybe I was expecting a masterpiece like Infinity War due to all this hype.
The first 2 hours of the movie are really boring. They try to build up many emotional moments only to destroy them with a joke the next minute. And there are really MANY jokes that feel out of place.
Endgame uses the previous marvel movies to give you a good story, without building it itself. It's like the writers didn't care to give us a proper story. They just filled it with many dramatic moments. Also, there was no action in the first 120 minutes.
Plus, I did not like the way they treated Thor at all. They made him a comic relief in the worst way possible. I wonder how Thor fans feel after watching this.
The last battle was epic and beautiful but that's all I really enjoyed. The cgi was top notch.
Also, the way they ended Cap's story, meh... Yeah we got it, you want to make people cry and give us the end of an era, but at least do it without creating dozens of plot holes.
The 3 hours went by fast, but I wouldn't watch it again in theaters (I had planned to watch it at least 1 more time).
This could be so damn good... Disappointed.*edit* Also, all of you fanboys who downvote all my reviews because you got angry because I gave your beloved Avengers a 6, you are just amusing and pathetic. Get a life."
sajakram,2/10,14 June 2019," These get worse!!!
",I don't really know what all the hype is about. Bored watching this as it's the same again just rehashed. Glad to see the back of the Avengers to be honest.
villard,villard,17 August 2019," An ""Endgame"" without much of an ending.
","This latest of the Avengers series is pretty predictable because it is so formulaic: a convoluted set of story strings that must come together at the end, gratuitous little interpersonal dramas, and lots and lots of explosions, fistfights, and a pseudo battle of Armageddon. Also, predictably, the final battle must invoke Deus ex machina to save the day.It's too bad that a lot of engaging actors and Marvel characters are wasted on such an insipid, uninspiring script.The God wannbe, Thanos, is a boring and not a terribly scary sci-fi villain. He looks like a World Wrestling Federation refugee who overdosed on steroids. And, the quest for the five magic stones that give power over the entire universe sounds like a gimmick straight out of an adolescent-level video game.The first 60 minute takes forever to ramp-up. And the viewer is lost without remembering the previous installment,""Infinity War."" After a padded full three hours of superhero antics - so many superheroes I can't keep them straight - the ending is dismally anticlimactic. Killing off Iron Man seems terribly misplaced. And, just to drag out the boredom, it follows up with a painfully long shot of all the super heroes - clad in black - at a funeral that is, well, deadly.A forgettable fractured sci-fi yarn."
bizlats,2/10,6 August 2019," Marvel Studios drops the ball Again
","What have they done wrong with this movie ""everything""
They have turned Thor & Hulk into joke characters the whole movie feels hurried and confusing the CGI is poor on more than one occasion a lot of MCU characters are more cameos than necessary.I enjoyed the early Marvel movies but the most recent ones are ruining the franchise how they made so much £££ out of this is baffling it only gets more confusing the longer you watch it.I am not sure why so many cameos were necessary as Captain Marvel was all that was needed."
